year,country,economic_freedom,quartile,property_rights,foreign_currency,sound_money,control_movement,trade,credit_market_reg,regulation,suicides_no,population,percentage_suicides
2005,Albania,6.96,2.0,4.710359339,10.0,9.64012419,2.186740266,6.327471577000001,7.50916396,6.100808045,0.0,386513.0,0.0
2006,Albania,7.14,2.0,4.814244228,10.0,9.572622662999999,2.319230915,6.737935752,7.842497292999999,6.51577961,0.0,388746.0,0.0
2007,Albania,7.21,2.0,4.976205633999999,10.0,9.424455327,2.106611668,6.7846536639999995,6.428177524,6.057157012999999,124.0,391811.0,0.03164791187587893
2008,Albania,7.22,2.0,5.312341118,10.0,9.395341229,2.109924676,6.851790312,6.9833346270000005,6.297380532999999,160.0,393832.0,0.04062646001340673
2009,Albania,7.31,2.0,5.543880229,10.0,9.63302116,3.624133235,7.2435360520000005,7.001458776000001,6.373995227999999,0.0,394286.0,0.0
2010,Albania,7.35,1.0,5.255863188,10.0,9.725022467,3.6753381739999997,7.246923526000001,7.038538539,6.791307688,96.0,394593.0,0.024328865438565814
2011,Albania,7.24,2.0,4.874882436,10.0,9.775259796,3.423733716,7.118942527000001,7.045378712000001,6.713490755,21.442622950819676,394638.0,0.005433491693861128
2012,Albania,7.2,2.0,4.4714921069999995,10.0,9.710740401,3.216676247,7.115422011000001,7.055868362999999,6.619161556,16.721311475409834,395819.0,0.004224484290903123
2013,Albania,7.27,2.0,4.5437824760000005,10.0,9.690942225,5.897335678999999,7.705770861,6.981637674,6.624513652,12.0,397517.0,0.0030187388212328027
2014,Albania,7.48,1.0,4.66674035,10.0,9.629319505,6.208105271,8.232519198,7.236000000000001,6.954480837999999,7.278688524590163,399197.0,0.0018233324710832405
2015,Albania,7.53,1.0,5.003488819,10.0,9.585625237,6.155187344,8.112451744,7.542999999999999,7.035654872,2.5573770491803263,400275.0,0.0006389050150972022
1980,Argentina,4.25,4.0,3.9663601319999997,10.0,2.5,0.0,4.617777778,4.446112779,4.0880397230000005,1972.0,3148900.0,0.06262504366604212
1985,Argentina,3.53,4.0,4.306509131,10.0,2.5,0.0,1.688888889,4.202535869,3.9515846010000004,1988.0,3355300.0,0.05924954549518672
1990,Argentina,4.47,4.0,5.696758172999999,10.0,2.5,0.0,4.397777778,3.6953620289999995,3.5774185139999997,2140.0,3622000.0,0.059083379348426286
1995,Argentina,6.95,2.0,5.148003178,10.0,6.57373309,9.528333332999999,8.539861111,7.535869203,6.276190475,2204.0,3950100.0,0.055796055796055795
2000,Argentina,7.34,2.0,5.237369929,10.0,9.709159437,6.577694423,7.617734485,7.315676812,6.342809769,2774.0,4253771.0,0.06521272536767964
2001,Argentina,6.84,2.0,4.039571469,10.0,9.450249901,5.808463654,7.333355251,6.811524544,5.459760012,3132.0,4306817.0,0.07272191969150303
2002,Argentina,6.28,3.0,3.76663022,10.0,7.0104502129999995,5.205128205,7.012774837,7.062290555,5.858506949,3162.0,4355651.0,0.07259534797439005
2003,Argentina,6.16,3.0,4.012006227,5.0,6.001640036,5.58974359,6.9077692310000005,7.542254105,6.069288449,3289.0,4402438.0,0.07470860464133737
2004,Argentina,6.33,3.0,4.427646424,5.0,6.194563354,3.539426523,6.651767445,7.934215342000001,6.214437271,3121.0,4450210.0,0.07013152188323697
2005,Argentina,5.99,4.0,4.223366237,5.0,5.443853144,3.494736128,6.418520121,8.267548676,6.307975569,3058.0,4500787.0,0.06794367296208419
2006,Argentina,6.08,4.0,4.163537973,5.0,6.169300098,4.652506788,6.664577437999999,7.934215342000001,5.911805204,3108.0,4549471.0,0.0683156349386555
2007,Argentina,6.19,3.0,4.197551664,5.0,7.1050382270000005,4.607531386000001,6.753119022999999,6.586345102999999,5.472728124,2946.0,4601874.0,0.06401739812954461
2008,Argentina,5.88,4.0,4.286501503999999,5.0,6.895768048,4.55293883,6.759203265,6.362624464,5.409338185,3059.0,4660022.0,0.06564346691925489
2009,Argentina,5.82,4.0,4.257937172,5.0,7.026121527999999,3.81633251,6.409600816,6.958996608,5.641382761,2884.0,4726814.0,0.06101361297482829
2010,Argentina,5.59,4.0,4.23403745,5.0,6.587399456,3.592951135,6.1263159929999995,5.241274608,5.206860283999999,2943.0,4804030.0,0.06126106622981122
2011,Argentina,5.58,4.0,4.171251717,5.0,7.07373468,3.373146877,5.705816646000001,6.165498832000001,5.501450631,2912.0,4893085.0,0.05951255700646933
2012,Argentina,5.04,4.0,3.983924912,5.0,6.575353031000001,3.0848806389999996,3.703141328,7.124,5.723698766,3248.0,4993138.0,0.06504927362312037
2013,Argentina,4.88,4.0,3.6131844689999997,5.0,6.247636663,4.08445726,3.847959135,6.794012051,5.515308967999999,2987.0,5099167.0,0.058578195222866794
2014,Argentina,4.49,4.0,3.729503575,5.0,4.777095478000001,4.738058136,3.599648778,6.186666667000001,5.388279073,3231.0,5203634.0,0.06209122317211395
2015,Argentina,4.98,4.0,3.81636162,10.0,6.455330731,4.505738092,3.730787481,6.7620000000000005,5.549339485,3073.0,5301368.0,0.05796617024134148
1985,Armenia,5.756363636363636,4.0,4.273655275181818,10.0,6.887034324909091,5.679283506181818,5.379201266,6.800650936454545,5.9872449525454545,74.0,327300.0,0.022609227008860373
1990,Armenia,5.985454545454545,4.0,4.366061493727273,10.0,7.205208912636364,5.924733847727273,5.728364856,7.145858574818182,6.1418014971818184,93.0,358000.0,0.025977653631284917
1995,Armenia,6.214545454545455,4.0,4.458467712272728,10.0,7.523383500363636,6.170184189272727,6.0775284460000005,7.491066213181819,6.2963580418181815,130.0,453600.0,0.028659611992945325
2000,Armenia,6.443636363636363,4.0,4.550873930818182,10.0,7.841558088090909,6.415634530818182,6.426692036,7.836273851545455,6.450914586454545,61.0,555300.0,0.010985053124437242
2001,Armenia,6.672727272727273,4.0,4.643280149363637,10.0,8.159732675818182,6.661084872363636,6.775855626,8.18148148990909,6.605471131090909,60.0,563626.0,0.010645357027532441
2002,Armenia,6.901818181818182,4.0,4.735686367909091,10.0,8.477907263545454,6.906535213909091,7.125019216,8.526689128272729,6.760027675727272,74.0,469992.0,0.015744948850193195
2003,Armenia,7.130909090909091,4.0,4.828092586454545,10.0,8.796081851272728,7.151985555454546,7.474182806,8.871896766636365,6.914584220363636,59.0,473959.0,0.012448334138606926
2004,Armenia,7.36,2.0,4.920498805,10.0,9.114256439,7.397435897,7.823346396,9.217104405,7.069140765,26.64,477071.0,0.00558407448786449
2005,Armenia,7.31,2.0,5.559863827,10.0,9.209705486,5.441003441,7.07680064,9.558450641,6.95014865,9.36,478385.0,0.0019565830868442783
2006,Armenia,7.45,2.0,5.624897155,10.0,9.432742427,5.662707511,7.275001359,9.638549051,7.133873008999999,78.0,450477.0,0.017314979455110915
2007,Armenia,7.42,2.0,5.711352793,10.0,8.980099437,5.5755831229999995,7.529635299,9.273637169,7.02810478,71.0,444817.0,0.015961620171890914
2008,Armenia,7.59,1.0,5.60380821,10.0,8.882498088,5.40661376,7.648547195,9.283514106,7.028465944,63.0,477501.0,0.013193689646723253
2009,Armenia,7.55,1.0,5.547514926,10.0,9.437311102999999,5.024098874,7.6351268910000005,9.115575095,6.985803992,53.0,433390.0,0.012229170031611251
2010,Armenia,7.56,1.0,5.55831481,10.0,9.179140596,4.95280081,7.612935093,8.833871842999999,7.238780407,73.0,427571.0,0.017073187844825772
2011,Armenia,7.71,1.0,5.816239444,10.0,9.148882223,4.188414117,7.385841836,9.039592118,7.478011717999999,67.0,422179.0,0.015870045644146204
2012,Armenia,7.75,1.0,5.779456522,10.0,9.341253295,4.02756888,7.336557901,9.717240898,7.651228098,79.0,428953.0,0.01841693612120675
2013,Armenia,7.69,1.0,5.613137582,10.0,9.176610282,6.819263492999999,8.079646592000001,9.463663354,7.539028608,67.0,423841.0,0.015807814722973944
2014,Armenia,7.7,1.0,5.560881471,10.0,9.358272314,7.080713812999999,8.38133363,9.461666667000001,7.477229985,58.0,417829.0,0.013881276790265875
2015,Armenia,7.59,1.0,5.777803721000001,10.0,9.481225477999999,6.905620723999999,8.242619487,8.995666667,7.364916892,74.0,412360.0,0.01794548452808226
2016,Armenia,7.57,1.0,5.809214965,10.0,9.521939951,6.8309979720000005,8.143241004,9.10204603,7.378068688,67.0,408109.0,0.01641718266443524
1980,Australia,6.85,1.0,7.2621927710000005,10.0,8.99859737,2.0,6.3833333329999995,8.379045712,6.53086844,1606.0,1688500.0,0.09511400651465798
1985,Australia,7.16,1.0,7.878980519,10.0,9.354849405,5.0,7.534444444,8.665999333,6.617517529,1861.0,1906800.0,0.09759807006503042
1990,Australia,7.73,1.0,7.860027027,10.0,9.149777947,8.0,8.152592593,9.67634301,8.117488172,2202.0,2220600.0,0.09916238854363686
1995,Australia,7.95,1.0,8.964967728,10.0,9.399644077,8.266666667,8.0975,9.72972973,7.6271532429999995,2170.0,2507400.0,0.08654383026242322
2000,Australia,8.19,1.0,8.870259154,10.0,9.402096333,6.108096538,8.310559135,10.0,8.124555187999999,2391.0,2782583.0,0.08592735598542793
2001,Australia,8.07,1.0,8.695499154,10.0,9.332072074,6.108096538,8.301825694,9.666666667000001,7.9084607,2458.0,2827367.0,0.08693600795368978
2002,Australia,8.05,1.0,8.61216582,10.0,9.20894925,4.820512821,7.984294872,9.600512001,8.260007488,2319.0,2845525.0,0.0814963846741814
2003,Australia,8.06,1.0,8.445499154,10.0,9.275517938,5.153846154,8.043461537999999,10.0,8.371741583,2156.0,2868971.0,0.07514889484766489
2004,Australia,8.01,1.0,8.231620308,10.0,9.355160436,5.2380952380000005,7.917072414,10.0,8.393419401000001,2114.0,2902618.0,0.07283080308879777
2005,Australia,8.07,1.0,8.479582167,10.0,9.440070868,3.324660062,7.4819258810000004,10.0,8.550426553,1164.0,2902348.0,0.04010545944180367
2006,Australia,8.14,1.0,8.426543752999999,10.0,9.462993458,3.335933827,7.504990802999999,10.0,8.545415011000001,2117.0,2934459.0,0.07214276975756008
2007,Australia,8.18,1.0,8.410772069,10.0,9.501963733,3.30920179,7.542792508,9.990084542,8.570088095,2229.0,3025248.0,0.07367990987846286
2008,Australia,8.08,1.0,8.177172965,10.0,9.42573294,3.214429402,7.472368406,9.969874009,8.530510692,2341.0,3066609.0,0.07633839201541508
2009,Australia,7.97,1.0,8.108772855,10.0,9.623725596,3.235794795,7.514359625,9.939377012000001,8.495455551000001,2337.0,3104929.0,0.07526742157389106
2010,Australia,8.02,1.0,8.085421268,10.0,9.472435741,2.969725917,7.519605968,9.404682797000001,8.373566089,2420.0,3132534.0,0.07725375047804749
2011,Australia,8.01,1.0,8.005570506,10.0,9.406873126,3.50984816,7.661295492000001,9.489701599,8.267486116,2392.0,3124328.0,0.07656046356208439
2012,Australia,7.96,1.0,7.766511959,10.0,9.51498351,4.0111020989999995,7.71018358,9.596214768,8.125883364,2580.0,3149749.0,0.0819112888042825
2013,Australia,7.92,1.0,7.874786085,10.0,9.252385596,3.879926533,7.564529171,9.501404874,8.201606453,2608.0,3171477.0,0.0822329785144272
2014,Australia,8.02,1.0,8.022299105,10.0,9.264815185,4.005347914,7.712471497,9.502333333,8.521085416,2891.0,3189475.0,0.09064187679790561
2015,Australia,8.0,1.0,7.994810648,10.0,9.36013851,3.916359833,7.60074244,9.583666667000001,8.45647826,3027.0,3203643.0,0.09448618338560195
1980,Austria,6.45,1.0,8.042893976,5.0,8.401397712,2.0,6.868888889,6.959292626,5.793729646,1932.0,924100.0,0.2090682826533925
1985,Austria,6.46,1.0,7.878980519,5.0,8.311754492999999,2.0,6.933333332999999,7.592592592999999,6.11037963,2091.0,940526.0,0.22232240257047653
1990,Austria,6.95,1.0,8.3465,10.0,9.6300008,5.0,7.639259259,7.462462462,6.0466687310000005,1825.0,985787.0,0.18513127075118663
1995,Austria,7.15,1.0,8.846123972000001,10.0,9.546124667,8.497916667,8.838368056,6.930993367,5.704221863,1788.0,1074328.0,0.16642961925966743
2000,Austria,7.96,1.0,8.7578229,10.0,9.627837233,8.113668462,9.111234616,9.746959225,7.543134352999999,1588.0,1163122.0,0.1365291001287913
2001,Austria,7.84,1.0,8.46600142,10.0,9.577747087999999,8.113668462,9.005015897,9.88663575,7.306953094,1489.0,1193029.0,0.12480836593242914
2002,Austria,7.8,1.0,8.207194805,10.0,9.628546765,7.294871795,8.754551282000001,9.825759517,7.645122535,1553.0,1214866.0,0.1278330284986163
2003,Austria,7.94,1.0,8.373861472,10.0,9.650573789,7.294871795,8.81482906,9.774134599,7.730824282,1456.0,1231545.0,0.11822548100150623
2004,Austria,7.9,1.0,8.286371069,10.0,9.620561246,7.520446507999999,8.750110857000001,9.412743389,7.646903785,1422.0,1248808.0,0.1138685850827349
2005,Austria,7.85,1.0,8.675041977000001,10.0,9.554900533,5.803007281,8.145748565,9.754511857999999,7.624274942,1399.0,1266464.0,0.11046504282790509
2006,Austria,7.85,1.0,8.717311384,10.0,9.535218409,5.862485132000001,8.162045917,9.809101398,7.669096545,1297.0,1281251.0,0.1012291892845352
2007,Austria,7.81,1.0,8.661697273,10.0,9.558188807999999,5.808979657,8.145749623,9.586346183,7.542153377999999,1285.0,1291260.0,0.09951520220559763
2008,Austria,7.7,1.0,8.375655024,10.0,9.543622926,5.735707153,8.031632781,9.625317711000001,7.4892248729999995,1267.0,1295943.0,0.09776664560092535
2009,Austria,7.66,1.0,8.237664429,10.0,9.577569235,5.594718336000001,8.031041246000001,9.686274738,7.612914026,1278.0,1297322.0,0.09851062419353099
2010,Austria,7.62,1.0,8.080429014,10.0,9.642062232999999,5.354564067,7.905210007999999,8.92412571,7.581996854,1264.0,1296607.0,0.09748520561743072
2011,Austria,7.65,1.0,8.004959015,10.0,9.585767272,5.3541165589999995,7.840464427000001,9.064853535,7.56273055,1288.0,1292255.0,0.09967073062205214
2012,Austria,7.62,1.0,7.9946402889999995,10.0,9.537677971,5.292935787,7.783021476,9.02674211,7.54926179,1276.0,1286522.0,0.0991821360225476
2013,Austria,7.63,1.0,8.002759787999999,10.0,9.628044927000001,5.695093411,7.815871955,9.083051699,7.563964685,1291.0,1282009.0,0.10070132112957085
2014,Austria,7.68,1.0,8.055605646,10.0,9.612099277,6.052904531,8.322105789,8.888,7.275615898,1314.0,1280204.0,0.1026398917672496
2015,Austria,7.64,1.0,8.015541357,10.0,9.616600404,5.946016104,8.12194709,9.126666667,7.388044299,1251.0,1279822.0,0.09774796807681069
2016,Austria,7.58,1.0,7.915986905,10.0,9.432829777,5.906785912,8.106732583,9.12901455,7.371334189,1204.0,1281202.0,0.09397425230369606
1985,Azerbaijan,7.074545454545454,1.0,6.991613449363636,8.181818181818182,8.670679765363637,5.520650362545455,7.512817541181818,8.146479589333333,7.006673073363636,244.0,737100.0,0.03310269976936644
1990,Azerbaijan,6.948181818181818,1.0,6.760520085454545,7.7272727272727275,8.480142262454546,5.424116475181818,7.364338780727272,7.900845849166666,6.9155077944545456,114.0,750400.0,0.015191897654584221
1995,Azerbaijan,6.821818181818182,1.0,6.5294267215454544,7.272727272727273,8.289604759545455,5.327582587818182,7.215860020272727,7.655212109,6.824342515545454,49.0,829300.0,0.00590859761244423
2000,Azerbaijan,6.695454545454545,1.0,6.298333357636364,6.818181818181818,8.099067256636364,5.231048700454545,7.067381259818181,7.658446295,6.733177236636363,62.0,1000200.0,0.0061987602479504095
2001,Azerbaijan,6.569090909090909,1.0,6.067239993727273,6.363636363636363,7.908529753727273,5.1345148130909095,6.918902499363636,7.661680481,6.642011957727273,317.0,1052500.0,0.0301187648456057
2002,Azerbaijan,6.442727272727273,1.0,5.836146629818182,5.909090909090909,7.717992250818183,5.037980925727273,6.77042373890909,7.664914667,6.550846678818182,92.0,1096350.0,0.008391480822729967
2003,Azerbaijan,6.316363636363636,1.0,5.605053265909091,5.454545454545455,7.527454747909092,4.941447038363636,6.621944978454545,7.668148853,6.4596813999090905,129.0,1137200.0,0.011343651072810412
2004,Azerbaijan,6.19,3.0,5.373959902,5.0,7.336917245,4.844913151,6.4734662179999996,7.671383039,6.368516121,108.0,1176300.0,0.009181331293037491
2005,Azerbaijan,6.01,4.0,5.645446668,5.0,7.254071623,3.253925858,5.917165361,7.330095112,6.192323243,30.0,1211150.0,0.0024769846839780376
2007,Azerbaijan,6.11,4.0,6.133604556,5.0,6.71457155,4.026618733,6.306364532999999,7.765960889,6.86808779,55.0,1267550.0,0.004339079326259319
1980,Bahamas,6.28,1.0,5.58667764325,0.0,6.25359578,0.0,3.44,8.619285953,6.984746031,1.0,25700.0,0.0038910505836575876
1985,Bahamas,6.32,1.0,5.564659438,0.0,6.4775430510000005,0.0,3.8233333330000003,9.376042709,7.270385761,1.0,25100.0,0.00398406374501992
1995,Bahamas,6.41,2.0,5.052370885,0.0,7.046875195,0.0,4.244444444,10.0,7.5059,2.0,32300.0,0.006191950464396285
2000,Bahamas,6.66,3.0,6.175473137000001,0.0,6.870632857,1.5384615380000002,4.957264957,10.0,7.5059,11.0,39420.0,0.027904616945712835
2001,Bahamas,6.75,2.0,6.175473137000001,0.0,6.9852921839999995,1.5384615380000002,4.876153846,9.913288671,7.473170592000001,1.0,40803.0,0.002450800186260814
2002,Bahamas,6.72,3.0,6.175473137000001,0.0,7.203230634,0.7692307690000001,4.680854701,9.745853896,7.409971917999999,3.0,42134.0,0.007120140504105948
2003,Bahamas,7.07,2.0,7.9434378379999995,0.0,7.197662299999999,0.7692307690000001,4.648632479,9.661759485,7.378230272000001,1.0,43511.0,0.002298269403139436
2004,Bahamas,7.18,2.0,8.100194595,0.0,7.207948827,1.5384615380000002,5.080598291,9.679948507999999,7.385095764,2.0,44948.0,0.004449586188484471
2005,Bahamas,7.38,2.0,8.237837837999999,0.0,6.815572557,4.769230769,6.343610256,9.784213417,7.424450815,4.0,46362.0,0.00862775548940943
2006,Bahamas,7.46,1.0,6.630718868,0.0,6.664723651,4.367138472,6.6000195129999994,9.901442281,9.174530996,2.0,47679.0,0.004194718848969148
2007,Bahamas,7.55,1.0,6.92261076,0.0,6.7403623360000005,4.367138472,6.7433417360000005,9.593235348,9.074470252000001,5.0,48976.0,0.01020908199934662
2008,Bahamas,7.58,1.0,6.94207022,0.0,6.822533439,4.367138472,6.731119512999999,9.490364233,9.139999773,4.0,50385.0,0.007938870695643545
2009,Bahamas,7.49,1.0,6.805854002999999,0.0,7.074973192000001,4.367138472,6.3108928120000005,9.464610038,9.1434712,6.0,51877.0,0.011565819149141237
2010,Bahamas,7.38,1.0,6.392441377000001,0.0,7.2983871460000005,4.367138472,6.350370589,9.207725837,8.72243216,10.0,53312.0,0.01875750300120048
2011,Bahamas,7.32,2.0,6.430820635,0.0,7.110323755,4.367138472,6.319259477999999,8.825017997,8.597797207000001,4.0,53821.0,0.007432043254491741
2012,Bahamas,7.31,2.0,6.480818625,0.0,7.080301537,4.367138472,6.3414817,8.622733198999999,8.495517605,5.0,54245.0,0.009217439395335975
2013,Bahamas,7.33,2.0,6.480818625,0.0,7.107396797000001,5.384615385,6.606395373,8.622733198999999,8.333128214,5.0,54567.0,0.009163047262997782
1985,Bahrain,6.6,1.0,4.394045105,10.0,8.607000000000001,2.0,7.055555556,8.354354354,6.953763943999999,11.0,67600.0,0.016272189349112426
2000,Bahrain,7.42,2.0,5.027469298,10.0,9.118771385,6.923076922999999,8.904102564,9.337972296,7.256015988,29.0,112060.0,0.025878993396394788
2001,Bahrain,7.33,2.0,5.027469298,10.0,8.803783415,6.923076922999999,8.880769231,9.032234282000001,7.14061441,23.0,118151.0,0.019466614755693983
2002,Bahrain,7.33,2.0,5.027469298,10.0,8.772299899,6.923076922999999,8.940769231,9.461169105,7.3025169320000005,25.0,126500.0,0.019762845849802372
2003,Bahrain,7.2,2.0,4.609756098,10.0,8.781882074,6.794871795,8.689551282,9.522809257,7.4097194879999995,34.0,137287.0,0.02476563695033033
2004,Bahrain,7.02,2.0,4.191771039,10.0,8.723286812000001,6.223009447000001,8.27215587,9.361049393,7.118443129,42.0,150835.0,0.027844996187887428
2005,Bahrain,6.89,2.0,4.426154851000001,10.0,8.816727189,4.630574299,7.647951177,9.430435931,7.096171855,42.0,174785.0,0.02402952198415196
2006,Bahrain,7.35,2.0,4.975062267,10.0,9.101942664,4.974787636,7.882204131,9.482469506000001,8.461357021,28.0,192597.0,0.014538128838974646
2007,Bahrain,7.52,2.0,5.178467888,10.0,9.120890119,5.226104404,7.902417953,9.599260392,8.548001957,40.0,212426.0,0.01883008671254931
2008,Bahrain,7.42,1.0,5.239073753,10.0,9.089656308,5.007936657,7.758144128,9.335789793,8.434764835,43.0,225866.0,0.019037836593378373
2009,Bahrain,7.29,2.0,5.1956792080000005,10.0,8.26035398,5.267417244,7.9215389179999995,9.456189434,8.524816412,36.0,242558.0,0.014841811030763777
2010,Bahrain,7.47,1.0,5.376333813,10.0,8.392210732,5.399473471,7.977541696,8.473761531000001,8.576907821,19.0,252232.0,0.007532747629166799
2011,Bahrain,7.49,1.0,5.232789497,10.0,8.545772855,5.38518287,7.8887391970000005,9.601905984,8.956348896,18.0,242955.0,0.007408779403593258
2012,Bahrain,7.33,2.0,4.838473888999999,10.0,8.605567457000001,4.954454608,7.6999112929999995,9.796,8.764023597000001,19.0,268027.0,0.007088838064821828
2013,Bahrain,7.33,2.0,4.824728756,10.0,8.711648195,4.773455863,7.674439695,9.480613884,8.634691406,5.0,269162.0,0.0018576173456877271
2014,Bahrain,7.36,2.0,5.009798196,10.0,9.119477867999999,4.993248073999999,7.579172451,8.979,8.296466169,9.0,258922.0,0.0034759502861865734
1980,Barbados,5.72,2.0,4.8230266385,0.0,5.061213498,0.0,5.1111111110000005,7.192525859,6.446211867000001,3.0,30600.0,0.00980392156862745
1985,Barbados,6.06,2.0,5.352615791,0.0,6.671444208,0.0,4.988888889,8.359025692000001,6.886510145,7.0,26000.0,0.026923076923076925
1990,Barbados,5.99,2.0,5.333786255,0.0,6.669436605,0.0,4.686666667,8.245578912000001,6.843689373999999,16.0,26000.0,0.06153846153846154
1995,Barbados,6.01,3.0,4.3038128030000005,0.0,7.19040351,0.0,5.326666667,8.205538872,6.828576161,17.0,31800.0,0.05345911949685535
2000,Barbados,6.13,3.0,4.870761733999999,0.0,6.700463704,0.0,5.333333333,8.369922137,6.890623035,10.0,40354.0,0.024780690885661892
2001,Barbados,6.15,3.0,4.870761733999999,0.0,6.725014685,0.0,5.333333333,8.306021664,6.8665036420000005,2.0,41070.0,0.004869734599464329
2002,Barbados,6.05,3.0,4.870761733999999,0.0,6.994269387999999,0.0,5.4,8.243151099,6.84277299,0.0,41563.0,0.0
2003,Barbados,5.83,4.0,6.013538782,0.0,6.703485293,0.0,5.7,8.128033412,6.799321531,0.0,41911.0,0.0
2004,Barbados,6.13,3.0,6.013538782,0.0,6.870289286,0.0,5.682672383,8.183820547,6.820378525,3.0,42213.0,0.007106815436003127
2005,Barbados,6.31,3.0,7.1561924029999995,0.0,6.286197842000001,5.806095099,6.660276633,8.339361231,6.859836077000001,1.0,42518.0,0.002351945058563432
